,Date,Time,Open,High,Low,Close,todrop
2224,2016-02-05,17:00:00,1.44995,1.44998,1.4498,1.44995,0.0
2225,2016-02-06,17:00:00,1.44995,1.44998,1.4498,1.44995,0.0
2226,2016-02-07,17:00:00,1.44814,1.44814,1.44814,1.44814,0.0
2227,2016-02-08,17:00:00,1.44296,1.44299,1.44296,1.44299,0.0
2228,2016-02-09,17:00:00,1.44674,1.44685,1.44674,1.44683,0.0
2229,2016-02-10,17:00:00,1.45219,1.45219,1.45182,1.45216,0.0
2230,2016-02-11,17:00:00,1.44745,1.44745,1.44731,1.4474,0.0
2231,2016-02-12,17:00:00,1.45029,1.45054,1.44987,1.45002,0.0
2232,2016-02-13,17:00:00,1.45029,1.45054,1.44987,1.45002,0.0
2233,2016-02-14,17:00:00,1.45029,1.45054,1.44987,1.45002,0.0
2234,2016-02-15,17:00:00,1.44309,1.44317,1.44309,1.44313,0.0
2235,2016-02-16,17:00:00,1.43012,1.43021,1.43012,1.43019,0.0
2236,2016-02-17,17:00:00,1.42894,1.42895,1.42889,1.42895,0.0
2237,2016-02-18,17:00:00,1.43327,1.43327,1.43325,1.43325,0.0
2238,2016-02-19,17:00:00,1.44044,1.44044,1.43958,1.44021,0.0
2239,2016-02-20,17:00:00,1.44044,1.44044,1.43958,1.44021,0.0
2240,2016-02-21,17:00:00,1.42652,1.42716,1.42652,1.42716,0.0
2241,2016-02-22,17:00:00,1.41487,1.41499,1.41462,1.41466,0.0
2242,2016-02-23,17:00:00,1.40197,1.40197,1.40156,1.40187,0.0
2243,2016-02-24,17:00:00,1.39251,1.39262,1.39226,1.39252,0.0
2244,2016-02-25,17:00:00,1.39604,1.39616,1.3958,1.39614,0.0
2245,2016-02-26,17:00:00,1.38687,1.38687,1.38663,1.38673,0.0
2246,2016-02-27,17:00:00,1.38687,1.38687,1.38663,1.38673,0.0
2247,2016-02-28,17:00:00,1.3855,1.3856,1.38549,1.38549,0.0
2248,2016-02-29,17:00:00,1.39121,1.39135,1.3912,1.39131,0.0
2249,2016-03-01,17:00:00,1.3951,1.39533,1.39443,1.39448,0.0
2250,2016-03-02,17:00:00,1.40758,1.40773,1.40741,1.4076,0.0
2251,2016-03-03,17:00:00,1.41728,1.41746,1.41724,1.41746,0.0
2252,2016-03-04,17:00:00,1.42285,1.42373,1.42234,1.42235,0.0
2253,2016-03-05,17:00:00,1.42285,1.42373,1.42234,1.42235,0.0
2254,2016-03-06,17:00:00,1.42158,1.42164,1.42158,1.42164,0.0
2255,2016-03-07,17:00:00,1.42623,1.42623,1.42588,1.42622,0.0
2256,2016-03-08,17:00:00,1.42123,1.42137,1.42123,1.42128,0.0
2257,2016-03-09,17:00:00,1.42139,1.42159,1.4212,1.42159,0.0
2258,2016-03-10,17:00:00,1.42786,1.42799,1.42771,1.42798,0.0
2259,2016-03-11,17:00:00,1.43842,1.43846,1.43794,1.43846,0.0
2260,2016-03-12,17:00:00,1.43842,1.43846,1.43794,1.43846,0.0
2261,2016-03-13,17:00:00,1.43685,1.4369,1.43685,1.43685,0.0
2262,2016-03-14,17:00:00,1.42979,1.42988,1.42979,1.42987,0.0
